q_parallel,Intensity,errorbar
0.111783443,0.003770381,0.001850562
0.137925159,-0.000966208,0.001745938
0.155147328,0.000729966,0.001824462
0.172180474,0.002381164,0.001901668
0.189003844,0.003800307,0.001977638
0.197330448,0.00822084,0.002109459
0.205596943,0.007393161,0.002098148
0.209706862,0.008012649,0.002125192
0.213800811,0.011331253,0.002210982
0.217878478,0.013832613,0.002292006
0.221939553,0.015876714,0.002354458
0.225983726,0.016087539,0.002357244
0.23001069,0.018229585,0.002425476
0.234020138,0.016648342,0.002383594
0.238011764,0.016858993,0.002408152
0.241985264,0.014641771,0.002364106
0.245940337,0.011240316,0.002272792
0.24987668,0.010634394,0.002274159
0.253793994,0.012904086,0.00231947
0.261570343,0.004037425,0.002100724
0.269267015,0.010591916,0.002305453
0.276881666,0.00841065,0.002264871
0.291855652,0.004003029,0.002178932
0.306474056,0.001222286,0.00213497
0.320719069,0.001693847,0.002204289
0.341348645,-0.001439576,0.002255754
