voltage,current,left,right,radius,em,errorbar
130,1.00,6.65,13.10,9.875,2.69E+11,5.91E+09
130,1.25,7.45,12.60,10.025,2.70E+11,7.42E+09
130,1.50,7.75,11.90,9.825,2.89E+11,9.85E+09
130,1.75,8.20,11.15,9.675,4.20E+11,2.02E+10
130,2.00,8.50,11.10,9.800,4.14E+11,2.25E+10
150,1.00,6.15,13.10,9.625,2.68E+11,5.45E+09
150,1.25,7.10,12.40,9.750,2.95E+11,7.86E+09
150,1.50,7.50,12.50,10.000,2.30E+11,6.50E+09
150,1.75,8.00,11.90,9.950,2.78E+11,1.01E+10
150,2.00,8.60,11.70,10.150,3.36E+11,1.53E+10
170,1.00,6.15,13.10,9.625,3.03E+11,6.17E+09
170,1.25,7.20,12.75,9.975,3.04E+11,7.76E+09
170,1.50,7.50,12.50,10.000,2.60E+11,7.37E+09
170,1.75,8.25,11.95,10.100,3.49E+11,1.34E+10
170,2.00,8.30,11.80,10.050,2.99E+11,1.21E+10
190,1.00,5.90,13.20,9.550,3.07E+11,5.95E+09
190,1.25,6.90,13.05,9.975,2.77E+11,6.37E+09
190,1.50,7.10,12.50,9.800,2.50E+11,6.54E+09
190,1.75,7.90,12.35,10.125,2.70E+11,8.58E+09
190,2.00,8.00,12.00,10.000,2.56E+11,9.05E+09
210,1.00,5.75,14.15,9.950,2.57E+11,4.32E+09
210,1.25,6.60,12.95,9.775,2.87E+11,6.40E+09
210,1.50,7.20,12.50,9.850,2.86E+11,7.64E+09
210,1.75,7.55,12.00,9.775,2.98E+11,9.49E+09
210,2.00,7.95,12.15,10.050,2.57E+11,8.64E+09
