voltage,current,i^2,left,right,radius,radius_m,unc,r^2,uncertainty,em,errorbar,CV
130,1.00,1.00,6.65,13.10,9.875,0.09875,3.54E-04,9.7516E-03,1.25E-07,2.69E+11,5.91E+09,2.80E+08
130,1.25,1.56,7.45,12.60,10.025,0.10025,3.54E-04,1.0050E-02,1.25E-07,2.70E+11,7.42E+09,2.80E+08
130,1.50,2.25,7.75,11.90,9.825,0.09825,3.54E-04,9.6531E-03,1.25E-07,2.89E+11,9.85E+09,2.80E+08
130,1.75,3.06,8.20,11.15,9.675,0.09675,3.54E-04,9.3606E-03,1.25E-07,4.20E+11,2.02E+10,2.80E+08
130,2.00,4.00,8.50,11.10,9.800,0.09800,3.54E-04,9.6040E-03,1.25E-07,4.14E+11,2.25E+10,2.80E+08
150,1.00,1.00,6.15,13.10,9.625,0.09625,3.54E-04,9.2641E-03,1.25E-07,2.68E+11,5.45E+09,3.23E+08
150,1.25,1.56,7.10,12.40,9.750,0.09750,3.54E-04,9.5063E-03,1.25E-07,2.95E+11,7.86E+09,3.23E+08
150,1.50,2.25,7.50,12.50,10.000,0.10000,3.54E-04,1.0000E-02,1.25E-07,2.30E+11,6.50E+09,3.23E+08
150,1.75,3.06,8.00,11.90,9.950,0.09950,3.54E-04,9.9003E-03,1.25E-07,2.78E+11,1.01E+10,3.23E+08
150,2.00,4.00,8.60,11.70,10.150,0.10150,3.54E-04,1.0302E-02,1.25E-07,3.36E+11,1.53E+10,3.23E+08
170,1.00,1.00,6.15,13.10,9.625,0.09625,3.54E-04,9.2641E-03,1.25E-07,3.03E+11,6.17E+09,3.66E+08
170,1.25,1.56,7.20,12.75,9.975,0.09975,3.54E-04,9.9501E-03,1.25E-07,3.04E+11,7.76E+09,3.66E+08
170,1.50,2.25,7.50,12.50,10.000,0.10000,3.54E-04,1.0000E-02,1.25E-07,2.60E+11,7.37E+09,3.66E+08
170,1.75,3.06,8.25,11.95,10.100,0.10100,3.54E-04,1.0201E-02,1.25E-07,3.49E+11,1.34E+10,3.66E+08
170,2.00,4.00,8.30,11.80,10.050,0.10050,3.54E-04,1.0100E-02,1.25E-07,2.99E+11,1.21E+10,3.66E+08
190,1.00,1.00,5.90,13.20,9.550,0.09550,3.54E-04,9.1203E-03,1.25E-07,3.07E+11,5.95E+09,4.09E+08
190,1.25,1.56,6.90,13.05,9.975,0.09975,3.54E-04,9.9501E-03,1.25E-07,2.77E+11,6.37E+09,4.09E+08
190,1.50,2.25,7.10,12.50,9.800,0.09800,3.54E-04,9.6040E-03,1.25E-07,2.50E+11,6.54E+09,4.09E+08
190,1.75,3.06,7.90,12.35,10.125,0.10125,3.54E-04,1.0252E-02,1.25E-07,2.70E+11,8.58E+09,4.09E+08
190,2.00,4.00,8.00,12.00,10.000,0.10000,3.54E-04,1.0000E-02,1.25E-07,2.56E+11,9.05E+09,4.09E+08
210,1.00,1.00,5.75,14.15,9.950,0.09950,3.54E-04,9.9003E-03,1.25E-07,2.57E+11,4.32E+09,4.53E+08
210,1.25,1.56,6.60,12.95,9.775,0.09775,3.54E-04,9.5551E-03,1.25E-07,2.87E+11,6.40E+09,4.53E+08
210,1.50,2.25,7.20,12.50,9.850,0.09850,3.54E-04,9.7023E-03,1.25E-07,2.86E+11,7.64E+09,4.53E+08
210,1.75,3.06,7.55,12.00,9.775,0.09775,3.54E-04,9.5551E-03,1.25E-07,2.98E+11,9.49E+09,4.53E+08
210,2.00,4.00,7.95,12.15,10.050,0.10050,3.54E-04,1.0100E-02,1.25E-07,2.57E+11,8.64E+09,4.53E+08
